ano;UF;escolaridade;escolaridade_adj;horas_trabalhadas;faixa_horas_trabalhadas;renda_bruta;se
2024;11;1;Sem Instrução Formal;1;Até 14 Horas;1587,339202546128;5,72669676376691e+02
2024;12;1;Sem Instrução Formal;1;Até 14 Horas;800,000000000000;8,05904625176863e-15
2024;13;1;Sem Instrução Formal;1;Até 14 Horas;345,590332615757;1,36771393444322e+02
2024;14;1;Sem Instrução Formal;1;Até 14 Horas;142,838180923461;5,67187874105175e+01
2024;15;1;Sem Instrução Formal;1;Até 14 Horas;494,858115185800;1,91521358336699e+02
2024;16;1;Sem Instrução Formal;1;Até 14 Horas;200,000000000000;2,27944250180865e-14
2024;17;1;Sem Instrução Formal;1;Até 14 Horas;176,285926852665;4,68910426801986e+01
2024;21;1;Sem Instrução Formal;1;Até 14 Horas;593,141647553976;1,34459310276809e+02
2024;22;1;Sem Instrução Formal;1;Até 14 Horas;336,524808492407;5,93542315154647e+01
2024;23;1;Sem Instrução Formal;1;Até 14 Horas;509,875850619494;1,63418001275406e+02
2024;24;1;Sem Instrução Formal;1;Até 14 Horas;359,604694448932;1,04108538268123e+02
2024;25;1;Sem Instrução Formal;1;Até 14 Horas;378,054185580514;9,67013253890211e+01
2024;26;1;Sem Instrução Formal;1;Até 14 Horas;400,417698462937;1,60554627998212e+02
2024;27;1;Sem Instrução Formal;1;Até 14 Horas;428,622456764037;8,35994289613466e+01
2024;28;1;Sem Instrução Formal;1;Até 14 Horas;244,087516399274;5,79287867338035e+01
2024;29;1;Sem Instrução Formal;1;Até 14 Horas;264,209878686740;3,90584724354404e+01
2024;31;1;Sem Instrução Formal;1;Até 14 Horas;599,371981678468;1,88516385440960e+02
2024;32;1;Sem Instrução Formal;1;Até 14 Horas;954,077802233600;8,88333606925143e+02
2024;33;1;Sem Instrução Formal;1;Até 14 Horas;1930,385878116717;1,43565355148864e+03
2024;35;1;Sem Instrução Formal;1;Até 14 Horas;910,419469831569;2,95233855615562e+02
2024;41;1;Sem Instrução Formal;1;Até 14 Horas;647,909385014094;2,96426907412776e+02
2024;42;1;Sem Instrução Formal;1;Até 14 Horas;1578,101696678965;3,33487086755352e+02
2024;43;1;Sem Instrução Formal;1;Até 14 Horas;421,836514021545;1,39808635400552e+02
2024;50;1;Sem Instrução Formal;1;Até 14 Horas;508,865892641000;1,89788509568340e+02
2024;51;1;Sem Instrução Formal;1;Até 14 Horas;799,847829857283;2,67727263120320e+02
2024;52;1;Sem Instrução Formal;1;Até 14 Horas;1195,139628769608;4,34924397743384e+02
2024;53;1;Sem Instrução Formal;1;Até 14 Horas;452,372439695748;1,06442512390145e+02
2024;11;2;Ensino Fundamental;1;Até 14 Horas;1012,174296925826;2,57954282230757e+02
2024;12;2;Ensino Fundamental;1;Até 14 Horas;490,252243533976;2,25789549968426e+02
2024;13;2;Ensino Fundamental;1;Até 14 Horas;454,132358347195;9,68691597252152e+01
2024;14;2;Ensino Fundamental;1;Até 14 Horas;548,012046211157;1,89559159940700e+02
