UF;escolaridade;horas_trabalhadas;renda_bruta;se;escolaridade_adj;faixa_horas_trabalhadas;ano
11;1;1;1034,911834428396;2,01343601826049e+02;Sem Instrução Formal;Até 14 Horas;2023
12;1;1;487,395608047170;2,85684966538359e+02;Sem Instrução Formal;Até 14 Horas;2023
13;1;1;436,280003210888;1,54620087915678e+02;Sem Instrução Formal;Até 14 Horas;2023
14;1;1;200,000000000000;4,50514381319239e-15;Sem Instrução Formal;Até 14 Horas;2023
15;1;1;390,917877197205;6,12360202517615e+01;Sem Instrução Formal;Até 14 Horas;2023
16;1;1;803,991930447577;1,85563450651386e+02;Sem Instrução Formal;Até 14 Horas;2023
17;1;1;493,165496015851;2,66556606428488e+02;Sem Instrução Formal;Até 14 Horas;2023
21;1;1;498,509026350787;1,18222757066629e+02;Sem Instrução Formal;Até 14 Horas;2023
22;1;1;470,334701900095;1,45452181754975e+02;Sem Instrução Formal;Até 14 Horas;2023
23;1;1;258,556478438947;4,61211691169317e+01;Sem Instrução Formal;Até 14 Horas;2023
24;1;1;402,786961539272;6,79845668692488e+01;Sem Instrução Formal;Até 14 Horas;2023
25;1;1;234,288723702860;5,38449898079627e+01;Sem Instrução Formal;Até 14 Horas;2023
26;1;1;874,195324878824;2,73911726193726e+02;Sem Instrução Formal;Até 14 Horas;2023
27;1;1;267,536360143189;6,19453809684568e+01;Sem Instrução Formal;Até 14 Horas;2023
28;1;1;289,966339802354;5,76689957713469e+01;Sem Instrução Formal;Até 14 Horas;2023
29;1;1;400,763086875406;7,95139206611184e+01;Sem Instrução Formal;Até 14 Horas;2023
31;1;1;419,575415370678;1,12972480536854e+02;Sem Instrução Formal;Até 14 Horas;2023
32;1;1;400,000000000000;9,01028762638477e-15;Sem Instrução Formal;Até 14 Horas;2023
33;1;1;481,370600173527;1,64088980121095e+02;Sem Instrução Formal;Até 14 Horas;2023
35;1;1;1454,323129184061;3,16294557029880e+02;Sem Instrução Formal;Até 14 Horas;2023
41;1;1;632,530780624216;1,03133685394845e+02;Sem Instrução Formal;Até 14 Horas;2023
42;1;1;1430,568979532135;2,60305390341426e+02;Sem Instrução Formal;Até 14 Horas;2023
43;1;1;1751,487851405717;1,35755367305856e+03;Sem Instrução Formal;Até 14 Horas;2023
50;1;1;385,348442861027;1,04553314204212e+02;Sem Instrução Formal;Até 14 Horas;2023
51;1;1;320,978945709929;6,03466993628022e+01;Sem Instrução Formal;Até 14 Horas;2023
52;1;1;872,452253343281;3,94795150152505e+02;Sem Instrução Formal;Até 14 Horas;2023
53;1;1;1581,480373637759;1,14511229813457e+03;Sem Instrução Formal;Até 14 Horas;2023
11;2;1;1099,371093756643;3,47715688024287e+02;Ensino Fundamental;Até 14 Horas;2023
12;2;1;935,133817131231;3,85596369807286e+02;Ensino Fundamental;Até 14 Horas;2023
13;2;1;376,675495285412;8,08303206813820e+01;Ensino Fundamental;Até 14 Horas;2023
14;2;1;508,660540608756;1,86325780135576e+02;Ensino Fundamental;Até 14 Horas;2023
